83.72,Recession of tendon
249.1,Secondary diabetes mellitus with ketoacidosis
V39.2,"Liveborn, unspecified whether single, twin or multiple, born outside hospital and not hospitalized"
015.74,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
284.11,Antineoplastic chemotherapy induced pancytopenia
384,Other disorders of tympanic membrane
250.21,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
765.15,"Other preterm infants, 1,250-1,499 grams"
173.01,Basal cell carcinoma of skin of lip
91.23,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture and sensitivity"
365.1,Open-angle glaucoma
017.86,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
017.84,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
600,Hyperplasia of prostate
873.7,"Open wound of internal structure of mouth, complicated"
711.45,"Arthropathy associated with other bacterial diseases, pelvic region and thigh"
711.43,"Arthropathy associated with other bacterial diseases, forearm"
442.3,Aneurysm of artery of lower extremity
533.9,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation"
386.11,Benign paroxysmal positional vertigo
865.03,"Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma"
669.5,Forceps or vacuum extractor delivery without mention of indication
942.21,"Blisters, epidermal loss [second degree] of breast"
80.84,"Other local excision or destruction of lesion of joint, hand and finger"
380.5,Acquired stenosis of external ear canal
040.4,Other specified botulism
E012.9,Activity involving other arts and handcrafts
327.44,Parasomnia in conditions classified elsewhere
733.19,Pathologic fracture of other specified site
303.90,"Other and unspecified alcohol dependence, unspecified"
749.01,"Cleft palate, unilateral, complete"
371.45,Keratomalacia NOS
712.91,"Unspecified crystal arthropathy, shoulder region"
635.71,"Legally induced abortion, with other specified complications, incomplete"
774.2,Neonatal jaundice associated with preterm delivery
37.79,Revision or relocation of cardiac device pocket
37.63,Repair of heart assist system
580.89,Acute glomerulonephritis with other specified pathological lesion in kidney
323.0,"Encephalitis, myelitis, and encephalomyelitis in viral diseases classified elsewhere"
201.68,"Hodgkin's disease, mixed cellularity, lymph nodes of multiple sites"
93.57,Application of other wound dressing
751.6,"Anomalies of gallbladder, bile ducts, and liver"
998.3,Disruption of wound
33.34,Thoracoplasty
716.67,"Unspecified monoarthritis, ankle and foot"
281.0,Pernicious anemia
656.4,Intrauterine death affecting management of mother
89.13,Neurologic examination
945.33,Full-thickness skin loss [third degree NOS] of ankle
55.12,Pyelostomy
716.97,"Arthropathy, unspecified, ankle and foot"
E863.8,Accidental poisoning by fumigants
998.6,Persistent postoperative fistula
011.85,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
099.50,"Other venereal diseases due to chlamydia trachomatis, unspecified site"
638.7,Failed attempted abortion with other specified complications
793.11,Solitary pulmonary nodule
036,Meningococcal infection
242.31,"Toxic nodular goiter, unspecified type, with mention of thyrotoxic crisis or storm"
V63.8,Other specified reasons for unavailability of medical facilities
V06.6,Need for prophylactic vaccination and inoculation against streptococcus pneumoniae [pneumococcus] and influenza
309.9,Unspecified adjustment reaction
718.21,"Pathological dislocation of joint, shoulder region"
464.31,Acute epiglottitis with obstruction
593.73,Other vesicoureteral reflux with reflux nephropathy NOS
756.14,Hemivertebra
756.12,Spondylolisthesis
389.21,"Mixed hearing loss, unilateral"
40.41,"Radical neck dissection, unilateral"
425.9,"Secondary cardiomyopathy, unspecified"
17.4,Robotic assisted procedures
015.16,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
610.0,Solitary cyst of breast
533.20,"Acute peptic ulcer of unspecified site with hemorrhage and perforation, without mention of obstruction"
302.72,Psychosexual dysfunction with inhibited sexual excitement
873.32,"Open wound of nasal cavity, complicated"
873.30,"Open wound of nose, unspecified site, complicated"
302.74,Male orgasmic disorder
E916,Struck accidentally by falling object
743.4,Coloboma and other anomalies of anterior segment
730.16,"Chronic osteomyelitis, lower leg"
652.1,Breech or other malpresentation successfully converted to cephalic presentation
312.0,"Undersocialized conduct disorder, aggressive type"
79.67,"Debridement of open fracture site, tarsals and metatarsals"
12.0,Removal of intraocular foreign body from anterior segment of eye
78.87,"Diagnostic procedures on bone, not elsewhere classified, tibia and fibula"
637.92,"Unspecified abortion, without mention of complication, complete"
152,"Malignant neoplasm of small intestine, including duodenum"
967.5,Poisoning by glutethimide group
987.3,Toxic effect of sulfur dioxide
627.4,Symptomatic states associated with artificial menopause
E000-E000.9,EXTERNAL CAUSE STATUS
51.49,Incision of other bile ducts for relief of obstruction
374.87,Dermatochalasis
12.6,Scleral fistulization
250.2,Diabetes mellitus with hyperosmolarity
363,"Chorioretinal inflammations, scars, and other disorders of choroid"
607.9,Unspecified disorder of penis
967.8,Poisoning by other sedatives and hypnotics
V52.8,Fitting and adjustment of other specified prosthetic device
025,Melioidosis
716.09,"Kaschin-Beck disease, multiple sites"
64.99,Other operations on male genital organs
006.1,Chronic intestinal amebiasis without mention of abscess
209.62,Benign carcinoid tumor of the thymus
800.40,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, unspecified state of consciousness"
820.20,Closed fracture of trochanteric section of neck of femur
707.21,"Pressure ulcer, stage I"
78.74,"Osteoclasis, carpals and metacarpals"
380.10,"Infective otitis externa, unspecified"
380.12,Acute swimmers' ear
755.50,Unspecified anomaly of upper limb
361.3,Retinal defects without detachment
728,"Disorders of muscle, ligament, and fascia"
965.7,Poisoning by other non-narcotic analgesics
378.23,"Intermittent exotropia, monocular"
378.21,"Intermittent esotropia, monocular"
038.11,Methicillin susceptible Staphylococcus aureus septicemia
944.15,Erythema [first degree] of palm
315.1,Mathematics disorder
944.17,Erythema [first degree] of wrist
173.42,Squamous cell carcinoma of scalp and skin of neck
427.32,Atrial flutter
173.40,Unspecified malignant neoplasm of scalp and skin of neck
732.4,"Juvenile osteochondrosis of lower extremity, excluding foot"
654.44,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, postpartum condition or complication"
868.0,Injury to other intra-abdominal organs without mention of open wound into cavity
20.31,Electrocochleography
098.34,"Gonococcal seminal vesiculitis, chronic"
806.71,Open fracture of sacrum and coccyx with complete cauda equina lesion
711.84,"Arthropathy associated with other infectious and parasitic diseases, hand"
35.02,"Closed heart valvotomy, mitral valve"
01.01,Cisternal puncture
669.10,"Shock during or following labor and delivery, unspecified as to episode of care or not applicable"
669.12,"Shock during or following labor and delivery, delivered, with mention of postpartum complication"
941.14,Erythema [first degree] of chin
665.74,"Pelvic hematoma, postpartum condition or complication"
363.57,"Other diffuse or generalized dystrophy of choroid, total"
363.55,Choroideremia
141,Malignant neoplasm of tongue
194.0,Malignant neoplasm of adrenal gland
V76.52,Special screening for malignant neoplasms of small intestine
17.49,Other and unspecified robotic assisted procedure
V76.50,"Special screening for malignant neoplasms for intestine, unspecified"
445.02,Atheroembolism of lower extremity
82.52,Recession of tendon of hand
334,Spinocerebellar disease
10.1,Other incision of conjunctiva
801.05,"Closed fracture of base of skull without mention of intra cranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
512.1,Iatrogenic pneumothorax
207.02,"Acute erythremia and erythroleukemia, in relapse"
401.0,Malignant essential hypertension
V78.9,Screening for unspecified disorder of blood and blood-forming organs
844.9,Sprains and strains of unspecified site of knee and leg
68.59,Other and unspecified vaginal hysterectomy
429.7,"Certain sequelae of myocardial infarction, not elsewhere classified"
718.65,"Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh"
756.56,Multiple epiphyseal dysplasia
E832.8,Other accidental submersion or drowning in water transport accident injuring other specified person
636.80,"Illegally induced abortion, with unspecified complication, unspecified"
80.75,"Synovectomy, hip"
33.78,Endoscopic removal of bronchial device(s) or substances
659.0,Failed mechanical induction of labor
294.0,Amnestic disorder in conditions classified elsewhere
V58.83,Encounter for therapeutic drug monitoring
944.21,"Blisters, epidermal loss [second degree] of single digit [finger (nail)] other than thumb"
87.3,Soft tissue x-ray of thorax
371.2,Corneal edema
660.13,"Obstruction by bony pelvis during labor, antepartum condition or complication"
095.8,Other specified forms of late symptomatic syphilis
296.1,"Manic disorder, recurrent episode"
V50.2,Routine or ritual circumcision
778.3,Other hypothermia of newborn
758.5,Other conditions due to autosomal anomalies
E855.5,Accidental poisoning by sympathomimetics [adrenergics]
571,Chronic liver disease and cirrhosis
79.20,"Open reduction of fracture without internal fixation, unspecified site"
327.1,Organic disorder of excessive somnolence [Organic hypersomnia]
362.13,Changes in vascular appearance of retina
E814.9,Motor vehicle traffic accident involving collision with pedestrian injuring unspecified person
E814.7,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian
E926.5,Exposure to radioactive isotopes
37.54,Replacement or repair of other implantable component of (total) replacement heart system
719.83,"Other specified disorders of joint, forearm"
56.84,Closure of other fistula of ureter
084.5,Mixed malaria
776.2,Disseminated intravascular coagulation in newborn
936,Foreign body in intestine and colon
641.81,"Other antepartum hemorrhage, delivered, with or without mention of antepartum condition"
845.09,Other sprains and strains of ankle
V67.9,Unspecified follow-up examination
776.5,Congenital anemia
519,Other diseases of respiratory system
756.7,"Anomalies of abdominal wall, congenital"
743.46,Other specified congenital anomalies of iris and ciliary body
743.44,"Specified congenital anomalies of anterior chamber, chamber angle, and related structures"
366.19,Other and combined forms of senile cataract
989.3,Toxic effect of organophosphate and carbamate
